type,Mã trạm/LakeCode,Trạm/Hồ,Tên sông/Lưu vực,Tên tỉnh,Thời gian (UTC),Mực nước (m),Cảnh báo/Xu thế,alert_value,alert_diff_m,bd1_m,bd2_m,bd3_m,hist_flood_level_m,hist_flood_year,x,y,Dung tích (m3),design_volume_m3,volume_percent,Q đến (m3/s),Q xả (m3/s),normal_level_m,reinforced_level_m,alert_code
Lake,CC907CCC-DE55-4D62-A3A1-54CDE3FA1925,Am Chúa,Cái,Khánh Hòa,2025-11-15 07:00,33.66,Xuong,,,,,,,,109.09640549509302,12.315881093048292,3.51107979,4.73,74.23001,,,35.5,,01
Lake,CC907CCC-DE55-4D62-A3A1-54CDE3FA1925,Am Chúa,Cái,Khánh Hòa,2025-11-15 07:00,33.66,Xuong,,,,,,,,109.09640549509302,12.315881093048292,3.51107979,4.73,74.23001,,,35.5,,01
Lake,CC907CCC-DE55-4D62-A3A1-54CDE3FA1925,Am Chúa,Cái,Khánh Hòa,2025-11-17 07:00,34.4,Len,,,,,,,,109.09640549509302,12.315881093048292,3.974601,4.73,84.0296249,,,35.5,,01
Lake,CC907CCC-DE55-4D62-A3A1-54CDE3FA1925,Am Chúa,Cái,Khánh Hòa,2025-11-17 07:00,34.4,Len,,,,,,,,109.09640549509302,12.315881093048292,3.974601,4.73,84.0296249,,,35.5,,01
Lake,CC907CCC-DE55-4D62-A3A1-54CDE3FA1925,Am Chúa,Cái,Khánh Hòa,2025-11-17 07:00,34.4,Len,,,,,,,,109.09640549509302,12.315881093048292,3.974601,4.73,84.0296249,,,35.5,,01
Lake,CC907CCC-DE55-4D62-A3A1-54CDE3FA1925,Am Chúa,Cái,Khánh Hòa,2025-11-17 07:00,34.4,Len,,,,,,,,109.09640549509302,12.315881093048292,3.974601,4.73,84.0296249,,,35.5,,01
Lake,8ECDCB6D-7906-4E7F-BC43-1D0168F4F9F8,Suối Dầu,Cái,Khánh Hòa,2025-11-15 07:00,41.26,Xuong,,,,,,,,109.05106625134071,12.152222576781432,28.7463951,32.78,87.69492,,,42.5,43.47,01
Lake,8ECDCB6D-7906-4E7F-BC43-1D0168F4F9F8,Suối Dầu,Cái,Khánh Hòa,2025-11-15 07:00,41.26,Xuong,,,,,,,,109.05106625134071,12.152222576781432,28.7463951,32.78,87.69492,,,42.5,43.47,01
Lake,8ECDCB6D-7906-4E7F-BC43-1D0168F4F9F8,Suối Dầu,Cái,Khánh Hòa,2025-11-17 07:00,40.84,Xuong,,,,,,,,109.05106625134071,12.152222576781432,27.451601,32.78,83.74497,,,42.5,43.47,01
Lake,8ECDCB6D-7906-4E7F-BC43-1D0168F4F9F8,Suối Dầu,Cái,Khánh Hòa,2025-11-17 07:00,40.84,Xuong,,,,,,,,109.05106625134071,12.152222576781432,27.451601,32.78,83.74497,,,42.5,43.47,01
Lake,8ECDCB6D-7906-4E7F-BC43-1D0168F4F9F8,Suối Dầu,Cái,Khánh Hòa,2025-11-17 07:00,40.84,Xuong,,,,,,,,109.05106625134071,12.152222576781432,27.451601,32.78,83.74497,,,42.5,43.47,01
Lake,8ECDCB6D-7906-4E7F-BC43-1D0168F4F9F8,Suối Dầu,Cái,Khánh Hòa,2025-11-17 07:00,40.84,Xuong,,,,,,,,109.05106625134071,12.152222576781432,27.451601,32.78,83.74497,,,42.5,43.47,01
River,71566,Ninh Hoà,Cái,Khánh Hòa,2025-11-15 01:00,2.53,Dưới BĐ1,0.0,-1.67,4.2,5.0,5.7,6.58,1986,109.13300323486328,12.5,,,,,,,,
River,71566,Ninh Hoà,Cái,Khánh Hòa,2025-11-15 07:00,2.55,Dưới BĐ1,0.0,-1.65,4.2,5.0,5.7,6.58,1986,109.13300323486328,12.5,,,,,,,,
River,71566,Ninh Hoà,Cái,Khánh Hòa,2025-11-15 13:00,2.63,Dưới BĐ1,0.0,-1.57,4.2,5.0,5.7,6.58,1986,109.13300323486328,12.5,,,,,,,,
River,71566,Ninh Hoà,Cái,Khánh Hòa,2025-11-15 19:00,2.7,Dưới BĐ1,0.0,-1.5,4.2,5.0,5.7,6.58,1986,109.13300323486328,12.5,,,,,,,,
